"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YDL248W",0.821879313884864,0.931484123919288,0.53966791947504,0.0977738917520341,-0.643443147889556,-0.680357921959965,-0.797623330018872,-0.269380849162832
"YDL247W-A",0.385764301685197,0.447518244468428,-0.277482822316412,0.208284335419902,-0.519844364385317,-0.279482149532912,-0.18792718956507,0.223169644226183
"YDL247W",0.577331658581857,0.577240950360622,-0.0502304382082768,-0.66366648443327,-0.822781506199658,-0.832576504085144,0.402072611943966,0.812609712039902
"YDL246C",1.32120235615475,0.717579252348191,0.263657698954001,-0.502820142046223,-1.01141575632227,-0.292949346526902,-0.545243400872683,0.049989338311148
"YDL245C",2.08455543344481,2.21640955611539,0.947341146074273,0.0946165818145217,-0.490030851051402,-1.61763062213253,-1.61763062213253,-1.61763062213253
"YDL244W",0.738304323910655,1.27677828244857,0.631765539566417,-0.00888320284839139,-0.161822830443805,-0.266284139576872,-1.14525722721152,-1.06460074584506
"YDL243C",1.08870482305305,1.01302332323859,0.392987510942619,-0.383772086517935,-0.372677134448991,-0.324137270331307,-0.750931753218617,-0.663197412717411
"YDL242W",1.03333523055768,1.38392130599179,1.10385758623733,-1.32645383864034,0.232197459379257,0.22604993375497,-1.32645383864034,-1.32645383864034
"YDL241W",-1.43354931924596,-1.75287611851276,-0.288675448004218,0.452855355439817,0.807619040932296,0.528825279660859,1.07401967989601,0.611781529833965
"YDL240W",-0.547550880600117,-1.21754034938034,-0.35065404642109,0.025204777293121,0.231088427718381,0.607703248331106,0.519290127496998,0.732458695561943
"YDL239C",0.798679772993584,0.589383355404639,0.656296299579289,0.201370255023368,-0.164528161719074,-0.506850581673313,-1.25440114771564,-0.319949791892858
"YDL238C",1.30702386777901,1.16657640436433,1.03822997337151,0.255651264462148,-0.42614100076215,-0.93536237634645,-1.34395578637476,-1.06202234649363
"YDL237W",0.456335812704852,0.450183933769621,0.249837401075046,-0.0125542383422541,-0.228540327425124,-0.193917992287037,-0.375382851475832,-0.34596173801927
"YDL236W",-1.5664036882882,-1.17202786645414,-0.0783976294814934,0.278820282749789,0.484809127896481,0.680685318218114,0.753255195524254,0.619259259835195
"YDL235C",-0.337731097194876,-0.335372440506326,-0.365180346893743,0.427159559242423,0.301716513484584,0.243114835998052,0.0114100429784845,0.0548829328913989
"YDL234C",1.76408406217564,1.83315428573919,1.4852364201124,-0.489948343446121,-0.935387501822467,-1.3455559573459,-1.20268119107175,-1.10890177434098
"YDL233W",1.0000573915942,1.11908677093163,0.411148697406771,-0.403985083189044,-0.465895936458386,-0.511485413168836,-0.545266904238866,-0.603659522877464
"YDL232W",-0.624332774480245,-0.691952916518611,-0.514293285846865,0.227728772288276,0.369115839052066,0.434038326811013,0.422726701083175,0.376969337611191
"YDL231C",0.253872501260723,0.010136474221941,0.0750100662563913,-0.0857543318840559,-0.160764679977753,0.029344946629033,-0.0947093091028552,-0.0271356674034262
"YDL230W",0.525604805620095,0.635457735589687,-0.0736224354760999,-0.218228559305988,0.0701377181979517,-0.259208804688511,-0.614048025558111,-0.0660924343790237
"YDL229W",-4.49514294254723,-4.32230164254128,-0.725286811800622,0.719257567803112,1.3130331911413,2.00684852579755,2.7169543289702,2.78663778317697
"YDL228C",-1.08272961095324,-1.08272961095324,-0.0724007451846418,0.340416513494792,0.0448701601278894,1.02719658491906,0.384614293512641,0.440762415036743
"YDL227C",-1.85985540627153,-2.43971272178492,-1.45091188779221,-1.56155095417191,-1.17209946036286,0.88833292668461,3.46025441501869,4.13554308868013
"YDL226C",-0.900849775118804,-0.951268227439874,-0.485831116380114,-0.00789017017651439,0.385011704823533,0.593911343033586,0.686030448442459,0.680885792815729
"YDL225W",-0.291462715190486,-0.264101754484791,-0.203419412935405,0.186795118101934,0.315520095178709,0.225079271393835,0.0423719530163424,-0.0107825550801302
"YDL224C",-0.259131458363489,-0.345735540123846,-0.0134999723594227,0.0553155412719288,-0.078508534376498,0.162687518016719,0.249493806705832,0.229378639228775
"YDL223C",2.91555905551485,2.81811780020845,1.86378535351713,0.381346764123464,-0.940249237196122,-1.67289655879956,-2.63558168757771,-2.73008148979051
"YDL222C",3.67904558670174,3.55585523880445,2.71230682595355,0.908604194028939,-1.13701513981843,-2.51808303013564,-3.54604832343678,-3.65466535209782
"YDL221W",1.57254287170908,2.11101683024699,1.19187668618877,0.441638541030551,-0.180258334106033,-0.823616816088756,-1.62712958055812,-2.68607019842247
"YDL220C",-0.931643984037881,-0.930630188000287,-0.610231193538493,0.483554965999671,0.569886727429935,0.595652100541151,0.487251831597959,0.336159740007946
"YDL219W",-1.49112682773799,-1.38717612060963,-0.928474394395996,0.0399780965380403,0.388863743718336,0.879816394838996,1.250432316594,1.24768679105425
"YDL218W",0.431625541722293,0.600254309227081,0.709037464498453,-0.0232962883712231,-0.153480719480292,-0.16386284746928,-0.0780337588975595,-1.32224370122947
"YDL217C",-0.290559038565394,-0.149095643857754,0.0407589738294813,0.163098215375921,0.236794253696191,0.160942285354985,-0.0399519204709904,-0.121987125362441
"YDL216C",0.962600751876055,0.899790952362171,0.229831072019972,-0.182824170270337,-0.43733344619848,-0.567740944881676,-0.577728341774816,-0.326595873132888
