"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YER053C-A",28,30,21,4,1,1,5,10
"YER054C",2943,2543,1073,80,22,16,34,74
"YER055C",58,97,666,2237,2963,3510,4270,2383
"YER056C",227,556,8254,5991,2527,2338,1906,1376
"YER056C-A",139,146,321,1044,1375,1993,3864,4494
"YER057C",469,470,541,566,458,580,816,740
"YER058W",256,187,137,99,68,44,47,58
"YER059W",666,597,483,342,218,185,256,283
"YER060W",24,19,44,56,44,22,60,109
"YER060W-A",10,18,76,73,23,28,23,28
"YER061C",791,846,871,950,691,596,189,79
"YER062C",147,417,1129,660,648,666,580,348
"YER063W",663,589,620,491,428,448,508,493
"YER064C",496,443,1355,754,638,1014,1139,944
"YER065C",998,1843,1399,524,149,58,63,77
"tS(UGA)E",6,4,2,2,1,0,0,3
"YER066W",212,195,129,44,39,34,45,38
"YER066C-A",5,1,1,2,1,1,4,3
"YER067W",12892,9649,1041,88,50,34,35,123
"YER067C-A",6,1,0,1,1,1,2,1
"YER068W",645,604,602,765,628,571,621,567
"YER068C-A",9,10,4,1,2,1,0,0
"YER069W",337,282,797,3372,3062,2095,1444,683
"YER070W",45,36,126,2017,4100,4898,5493,3826
"YER071C",161,189,209,235,211,145,153,144
"YER072W",885,871,990,1981,2541,3452,5096,3202
"YER073W",42,38,298,889,982,1557,2256,1086
"YER074W",139,119,302,1256,1822,2910,5480,7234
"YER074W-A",374,379,348,396,306,293,294,298
"YER075C",122,98,198,389,278,285,315,274
"YER076C",159,134,174,119,111,103,94,77
"YER076W-A",4,6,2,7,2,7,4,1
"YER077C",324,269,326,420,340,336,367,320
"YER078C",488,435,408,268,221,211,302,274
"YER078W-A",8,8,4,5,2,2,0,1
"YER079W",1566,1523,1313,499,207,111,79,141
"YER080W",2389,2319,2132,1394,978,1011,1082,1118
"SRG1",105,77,94,131,136,125,122,150
"YER081W",470,352,2105,12874,11446,9688,4755,960
"YER082C",79,84,353,802,799,1114,1282,625
"YER083C",414,424,418,386,311,330,397,317
"YER084W",8,9,12,3,3,5,0,6
"YER084W-A",9,3,3,2,0,0,3,1
"YER085C",14,7,7,6,18,1,2,3
"YER086W",84,108,504,1246,1640,2084,2651,1981
"YER087W",792,736,495,312,250,192,201,232
"YER087C-A",10,8,6,11,10,11,26,23
"YER087C-B",244,208,223,319,369,426,645,671
"YER088C",1600,1550,1475,836,544,597,876,1030
"YER088C-A",16,16,13,19,16,26,42,41
"YER089C",396,367,453,535,519,574,765,667
"YER090W",188,169,443,725,862,1112,1742,1407
"YER091C",3299,2693,9952,47851,47955,28331,4291,685
"YER092W",125,154,461,825,320,157,145,139
"YER093C",506,454,458,510,413,449,460,421
"YER093C-A",127,128,71,57,37,43,27,26
"YER094C",1243,1229,1066,831,771,685,717,743
"YER095W",586,494,213,270,282,262,263,234
"YER096W",506,494,539,317,136,83,77,37
"YER097W",8,8,5,0,0,1,0,1
"YER098W",718,557,343,132,85,84,96,146
"YER099C",526,465,495,476,436,394,421,297
"YER100W",366,423,618,700,714,675,681,598
"YER101C",458,415,257,191,125,132,140,117
"YER102W",244,212,593,2038,2806,4398,8671,11058
"YER103W",1235,1192,1083,740,347,313,267,258
"YER104W",101,100,89,79,78,79,74,55
"YER105C",927,824,926,1306,1237,1420,1669,1299
"YER106W",8,4,5,5,3,4,6,2
"YER107C",324,367,417,538,460,440,486,507
"YER110C",33,16,288,1320,1664,2788,4531,2706
"YER111C",1147,947,622,1069,975,963,954,776
"YER112W",685,661,680,696,658,626,683,615
"YER113C",313,260,370,510,437,567,640,590
