"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YDL248W",563,574,502,357,174,171,178,238
"YDL247W-A",9,9,5,8,3,4,5,7
"YDL247W",36,34,24,14,10,10,31,39
"YDL246C",42,25,20,10,5,10,9,14
"YDL245C",20,21,8,3,1,0,0,0
"YDL244W",31,44,31,18,13,12,6,6
"YDL243C",220,197,146,81,67,70,58,57
"YDL242W",6,8,7,0,2,2,0,0
"YDL241W",14,10,38,64,68,56,94,62
"YDL240W",243,143,303,382,362,475,505,540
"YDL239C",593,484,583,411,261,207,138,246
"YDL238C",459,393,413,231,117,82,69,78
"YDL237W",1008,948,948,765,540,558,556,523
"YDL236W",153,191,473,588,557,644,766,643
"YDL235C",445,421,474,798,600,581,559,531
"YDL234C",2526,2503,2260,554,333,252,315,310
"YDL233W",416,427,299,163,128,125,138,122
"YDL232W",39,35,46,77,70,74,83,74
"YDL231C",724,577,694,601,468,539,559,540
"YDL230W",246,251,175,153,154,123,108,147
"YDL229W",117,125,1782,4705,5828,9511,17597,17019
"YDL228C",0,0,1,2,1,4,2,2
"YDL227C",11,6,17,15,17,81,562,829
"YDL226C",283,258,411,556,600,700,844,775
"YDL225W",777,748,897,1140,1023,969,965,857
"YDL224C",523,465,674,685,512,611,734,667
"YDL223C",6356,5611,3327,1151,376,227,130,112
"YDL222C",4471,3877,2482,686,134,50,26,22
"YDL221W",31,44,25,13,6,3,1,0
"YDL220C",73,69,100,211,184,189,198,164
"YDL219W",50,51,82,159,167,238,349,321
"YDL218W",26,28,35,19,14,14,17,5
"YDL217C",183,191,251,265,229,219,215,187
"YDL216C",385,348,250,181,124,114,128,141
"YDL215C",9987,10548,10822,12592,5046,1972,586,514
"YDL214C",1813,1519,410,24,20,22,52,39
"YDL213C",41,51,221,502,611,766,1105,696
"YDL212W",428,405,519,627,718,800,1098,1048
"YDL211C",11,5,55,94,79,79,148,109
"YDL210W",21,20,47,43,20,16,23,20
"YDL209C",32,32,215,211,166,165,205,170
"YDL208W",84,109,583,1220,1297,1638,2055,1460
"YDL207W",499,426,522,453,426,484,539,497
"YDL206W",742,571,572,328,168,122,164,176
"YDL205C",391,350,356,298,319,352,451,485
"YDL204W",5886,4631,2064,397,122,71,80,119
"YDL203C",381,321,395,411,342,338,370,285
"YDL202W",266,266,248,264,205,216,219,192
"YDL201W",48,41,167,349,327,495,629,371
"YDL200C",419,447,410,413,294,251,257,193
"YDL199C",912,768,321,107,63,35,33,86
"YDL198C",144,80,159,420,434,436,615,506
"YDL197C",657,575,340,198,221,191,337,331
"YDL196W",2,4,3,0,2,5,1,0
"YDL195W",2245,1990,1722,1435,1411,1601,2122,1925
"YDL194W",1117,739,206,48,34,54,103,104
"YDL193W",584,456,366,320,281,302,382,322
"YDL192W",627,703,954,1457,1819,2258,3697,3853
"YDL191W",360,378,644,1487,2026,2926,5498,7076
"YDL190C",1159,1163,1038,1053,839,865,918,900
"YDL189W",278,292,415,571,573,647,739,689
"YDL188C",743,690,679,603,440,433,489,588
"YDL187C",12,17,16,3,4,2,9,6
"YDL185W",4444,4097,4547,4592,3948,4586,6227,6676
"YDL184C",632,588,531,688,668,735,1401,1919
"YDL183C",560,464,179,69,60,47,76,77
"YDL182W",392,401,1467,1237,734,1343,4054,2543
"YDL181W",1231,1230,1070,657,316,154,72,209
"YDL180W",517,375,453,359,261,209,263,234
"YDL179W",249,274,259,210,189,262,270,232
"YDL178W",1026,1000,1107,1726,1568,1278,910,535
"YDL177C",63,91,191,166,145,124,110,91
"YDL176W",350,301,390,351,292,284,353,338
"YDL175C",301,287,237,174,178,193,208,188
"YDL174C",3389,3051,2645,1198,720,654,904,1051
"YDL173W",747,756,912,800,519,526,530,568
"YDL172C",17,7,10,21,19,23,22,13
"YDL171C",1543,1341,1504,3396,2464,2456,2819,1824
"YDL170W",295,327,646,480,381,352,349,276
"YDL169C",1282,1265,748,170,61,36,21,24
"YDL168W",462,506,597,656,627,576,630,516
"YDL167C",31,31,492,938,858,1268,1291,633
"YDL166C",49,42,95,261,363,372,483,312
"YDL165W",406,412,316,358,332,319,337,247
"YDL164C",167,154,142,381,523,556,748,582
"YDL161W",1576,1567,1114,782,724,609,666,601
"YDL160C-A",78,77,82,91,88,98,85,61
"YDL160C",1698,1662,1264,796,452,515,577,607
"YDL159W",455,403,336,263,193,197,190,165
"YDL158C",14,10,24,45,56,71,129,143
"YDL157C",60,58,75,157,216,314,475,501
"YDL156W",45,42,62,130,153,137,166,142
"YDL155W",264,238,252,295,377,454,507,467
"YDL154W",148,141,130,94,102,117,238,272
"YDL153C",42,47,458,1248,1421,1947,2598,1292
"YDL152W",0,0,0,4,2,2,7,3
"YDL151C",0,0,1,4,1,3,4,1
"YDL150W",56,47,329,640,572,759,857,507
"YDL149W",946,716,600,566,287,101,108,146
"YDL148C",21,27,514,1690,1769,2339,2847,1382
"YDL147W",4306,4354,3538,2333,1903,1718,1769,1627
"YDL146W",232,226,268,308,201,121,148,231
"YDL145C",2087,1949,1742,1965,2095,2755,3615,3611
"YDL144C",467,459,465,427,272,299,287,232
"YDL143W",709,663,955,1397,1434,1764,2308,1670
"YDL142C",476,480,231,134,90,69,81,113
"YDL141W",241,260,328,385,370,411,514,458
"YDL140C",2607,2030,1566,2196,1832,2229,2492,2369
"YDL139C",52,53,120,78,63,58,77,79
"YDL138W",106,106,601,386,245,243,202,148
"YDL137W",2271,2386,2218,1930,1547,1466,1596,1804
"YDL136W",230,228,557,1285,1915,2732,5242,6316
"YDL135C",847,892,721,705,580,548,641,695
"YDL134C",1518,1499,1320,1098,818,719,765,760
"YDL133C-A",559,497,513,707,665,868,1540,1735
"YDL133W",414,292,423,442,368,344,331,342
"YDL132W",1962,1864,1698,1390,1123,1074,1197,1248
"YDL131W",356,345,804,1263,1263,1705,3138,2032
"YDL130W-A",2952,2929,2393,1451,785,487,195,124
"YDL130W",86,92,249,668,890,1498,2945,3834
"YDL129W",90,93,105,77,49,81,85,48
"YDL128W",778,699,649,613,470,460,427,499
"YDL127W",75,55,132,298,199,245,300,225
"YDL126C",12158,11469,9777,6470,4399,4191,4220,4634
"YDL125C",1244,1188,1248,720,442,466,612,743
"YDL124W",5631,5649,6143,4718,2771,1795,814,1197
"YDL123W",253,235,189,126,83,90,64,64
"YDL122W",698,691,1261,1663,1305,1635,1749,1222
"YDL121C",29,35,110,284,322,444,638,443
"YDL120W",456,473,461,408,352,371,385,340
"YDL119C",149,150,156,160,109,103,106,95
"YDL117W",327,256,395,589,515,629,668,495
"YDL116W",772,775,876,870,743,761,821,750
"YDL115C",1050,1023,784,458,346,282,328,300
"YDL114W-A",6,1,4,3,0,1,3,0
"YDL114W",2,0,3,6,1,0,1,1
"YDL113C",2195,2006,1262,547,364,244,253,395
"YDL112W",66,61,213,708,839,1288,1598,1007
"YDL111C",192,200,306,317,281,313,367,270
"YDL110C",3768,3271,1605,449,249,176,132,241
"YDL109C",234,179,229,184,143,136,167,152
"YDL108W",127,123,192,222,182,238,211,167
"YDL107W",385,373,295,206,110,135,102,97
"YDL106C",1141,997,514,576,425,349,401,348
"YDL105W",105,115,133,227,212,211,204,165
"YDL104C",123,143,121,118,89,97,47,66
"YDL103C",405,384,402,473,551,637,650,515
"YDL102W",217,241,300,538,674,687,842,474
"YDL101C",160,162,94,316,508,457,528,383
"YDL100C",1065,1006,1073,1202,1244,1447,2066,2111
"YDL099W",1376,1336,1300,1220,1054,896,965,783
"YDL098C",68,95,98,97,106,110,126,109
"YDL097C",3431,3182,2279,1398,1178,1249,1323,1255
"YDL095W",1186,1115,1116,1370,1609,2045,3249,3010
"YDL094C",4,10,14,9,6,7,6,4
"YDL093W",118,112,138,227,290,399,585,517
"YDL092W",280,284,322,397,442,442,537,418
"YDL091C",1304,1264,758,315,266,199,221,226
"YDL090C",356,373,350,296,287,272,308,226
"YDL089W",618,602,468,380,316,265,298,294
"YDL088C",977,850,721,591,436,475,567,517
"YDL087C",164,159,145,135,81,92,80,83
"YDL086W",775,750,745,490,334,274,288,265
"YDL086C-A",4,4,3,10,8,8,15,14
"YDL085C-A",111,94,112,139,153,175,286,368
"YDL085W",2531,2355,1871,585,172,43,26,19
"YDL084W",1848,1859,2087,2530,2674,3477,5589,6812
"YDL083C",72,73,265,996,1490,2314,4595,5244
"YDL082W",61,67,359,1190,1599,2437,4456,4071
"YDL081C",283,257,552,1119,1507,2196,4285,5681
"YDL080C",310,269,225,258,213,249,259,266
"YDL079C",3485,2582,525,51,35,32,32,57
"YDL078C",3785,3951,3102,1959,1216,872,838,843
"YDL077C",676,622,590,493,356,425,510,471
"YDL076C",488,513,425,371,333,256,286,372
"YDL075W",232,242,486,1520,2111,3222,6212,8264
"snR63",19,12,16,17,8,12,23,30
"YDL074C",554,500,887,1020,930,1079,1254,1119
"YDL073W",192,232,479,777,754,750,806,729
"YDL072C",2374,2294,1857,1096,586,463,431,627
"YDL071C",0,2,0,1,2,4,0,3
"YDL070W",2144,1886,2025,1368,965,895,1098,1671
"YDL069C",74,86,114,113,106,94,82,90
"YDL067C",731,828,686,434,242,193,201,233
"YDL066W",972,915,1252,1071,699,676,860,1072
"YDL065C",1194,1164,933,762,742,662,721,567
"YDL064W",253,256,289,306,358,440,542,501
"YDL063C",16,9,261,641,703,1091,1220,425
"YDL062W",4,5,6,1,0,0,0,1
"YDL061C",104,111,267,686,825,1184,2035,2363
"YDL060W",28,22,466,1152,1080,1498,1840,870
"YDL059C",140,136,240,616,406,66,29,37
"YDL058W",938,925,849,1578,1489,1261,1375,1320
"YDL057W",236,220,220,145,95,64,66,52
"YDL056W",602,593,613,576,483,510,615,586
"YDL055C",2093,2001,2575,9012,10467,12005,16404,18613
"YDL054C",584,489,383,456,504,406,238,192
"YDL053C",686,712,666,849,612,586,458,396
"YDL052C",277,231,308,515,526,524,495,556
"YDL051W",113,138,512,927,1126,1683,2361,1460
"YDL050C",1,0,1,1,2,1,2,5
"YDL049C",47,50,78,106,89,76,102,117
"YDL048C",254,360,689,32,18,16,33,47
"YDL047W",661,628,557,471,385,439,550,487
"YDL046W",2397,2346,2072,1284,715,624,617,568
"YDL045W-A",275,247,262,215,179,167,177,157
"YDL045C",638,648,433,303,205,214,199,202
"YDL044C",298,234,225,225,167,160,162,170
"YDL043C",128,139,152,210,176,201,238,172
"YDL042C",108,108,96,150,144,207,318,233
"YDL040C",958,922,1083,1163,1196,1438,1980,1617
"YDL039C",33,29,2159,267,167,420,372,81
"YDL037C",22,21,982,115,72,209,159,43
"YDL036C",91,122,197,222,214,275,333,188
"YDL035C",1546,1310,1295,1238,879,712,784,768
"YDL033C",108,89,76,77,78,79,109,91
"YDL031W",100,86,621,1542,1458,1990,2462,1191
"YDL030W",111,132,209,200,196,203,273,171
"YDL029W",2027,1862,1820,1555,1155,1248,1245,1255
"YDL028C",533,489,445,415,312,427,452,526
"YDL027C",1706,1759,1139,650,466,263,271,407
"YDL025C",1822,1675,1252,1279,1002,667,256,343
"YDL024C",332,273,185,93,41,38,25,15
"YDL022C-A",32,18,15,2,1,0,1,0
"YDL023C",3,5,1,1,4,1,1,2
"YDL022W",2931,2529,1677,675,435,270,156,678
"YDL021W",1055,982,693,445,341,248,148,167
"YDL020C",1584,1216,658,570,412,424,499,599
"YDL019C",2894,2508,1454,781,604,496,590,817
"YDL018C",609,579,302,248,288,290,326,308
"YDL017W",241,206,201,164,147,146,173,147
"YDL016C",156,148,151,128,116,94,133,149
"YDL015C",1423,1516,1545,1457,1169,1142,1395,1474
"YDL014W",15,65,856,1777,1980,2841,3931,2657
"YDL013W",478,452,503,350,265,277,294,288
"YDL012C",83,82,120,84,109,95,151,134
"YDL010W",422,442,479,338,331,288,330,316
"YDL008W",120,111,132,147,147,146,133,122
"YDL007W",3054,2925,2747,2285,1921,1848,1861,1586
"YDL006W",327,347,241,253,237,234,291,249
"YDL005C",1645,1422,1102,620,498,450,645,552
"YDL004W",1738,1849,1714,1320,904,670,601,800
"YDL003W",59,76,125,1008,1371,1165,1357,1055
"YDL002C",558,576,474,411,329,312,344,336
"YDL001W",223,183,201,244,240,254,297,260
"YDR001C",5918,5366,5378,3202,1884,1359,834,1012
"YDR002W",820,905,1285,1449,1641,2070,3152,3572
"YDR003W",637,560,356,228,155,120,147,162
"YDR003W-A",162,171,108,66,46,28,30,34
"YDR004W",302,297,287,394,303,234,253,224
"YDR005C",708,691,637,653,562,568,625,469
"YDR006C",1784,1618,1608,633,606,632,560,569
"YDR007W",490,495,499,373,323,262,262,234
"YDR008C",4,7,5,7,3,2,3,3
"YDR009W",309,316,221,71,44,29,42,39
"YDR010C",2,5,4,7,2,3,1,1
"YDR011W",2201,1823,1466,912,617,833,1084,1182
"YDR012W",749,718,1396,2192,2169,3196,5992,7360
"YDR013W",84,94,112,171,171,148,186,144
"YDR014W",356,339,272,249,190,196,191,186
"YDR014W-A",71,50,54,31,25,13,18,6
"YDR016C",187,218,173,179,124,151,118,153
"YDR017C",754,696,693,995,997,1394,1835,1146
"YDR018C",548,510,232,40,27,23,23,18
"YDR019C",5422,5396,6689,10951,10631,7758,1600,199
"YDR020C",16,14,69,167,142,175,177,98
"YDR021W",11,10,137,309,286,374,321,146
"YDR022C",305,295,373,242,184,165,112,130
"tV(UAC)D",0,0,1,5,3,3,1,0
"YDR023W",1031,1005,1584,2786,3228,3991,6328,6701
"YDR024W",15,25,37,49,59,88,144,144
"YDR025W",102,87,389,1334,1840,3108,5663,5826
"YDR026C",364,362,502,531,492,487,538,463
"YDR027C",1270,1126,774,551,442,402,520,658
"YDR028C",3637,3479,2881,2088,1595,1523,1610,1652
"YDR030C",179,136,203,140,112,123,113,87
"YDR031W",737,705,366,159,110,77,73,76
"YDR032C",4935,4744,4067,3016,2107,1909,1534,1191
"YDR033W",1315,1179,3391,5333,4351,3917,4579,6353
"YDR034C",755,653,838,850,611,665,814,686
"YDR034C-D",1030,1004,999,1169,1211,1300,1325,1093
"YDR034C-A",4,3,2,0,1,0,1,4
"YDR034W-B",320,304,281,222,108,60,38,6
"YDR035W",782,745,893,1085,1107,1429,2113,1569
"YDR036C",525,564,503,372,321,328,370,297
"YDR037W",139,223,1729,3412,4075,5653,8642,7577
"YDR038C",3522,2842,4841,2356,751,684,854,674
"YDR039C",4327,3633,5729,3052,864,744,917,784
"YDR040C",6299,5272,8344,4095,967,775,1000,758
"YDR041W",1326,1436,1701,883,524,302,225,225
"YDR042C",6,9,8,10,10,17,10,18
"snR47",5,3,5,0,1,0,2,1
"YDR043C",559,632,1524,642,117,64,107,186
"YDR044W",67,39,72,121,155,273,711,610
"YDR045C",60,71,111,234,232,266,331,227
"YDR046C",870,762,2766,1771,488,142,423,689
"YDR047W",806,721,1038,710,474,481,690,653
"YDR048C",8,4,8,5,1,1,2,1
"YDR049W",320,332,414,477,364,431,530,459
"YDR050C",5578,5296,5655,8229,10723,13515,19989,22028
"YDR051C",462,465,388,432,392,409,425,384
"YDR052C",599,497,555,655,613,692,787,743
"YDR054C",1652,1657,1373,929,645,683,695,581
"YDR055W",349,306,1426,2648,1487,1440,1169,990
"YDR056C",682,686,641,556,502,483,602,602
"YDR057W",439,405,405,443,265,250,283,267
"YDR058C",459,455,366,254,164,140,114,129
"YDR059C",321,339,266,201,125,99,55,43
"YDR060W",53,52,852,2136,2199,3338,4324,2356
"YDR061W",641,569,362,432,527,467,436,361
"YDR062W",697,641,880,1090,1169,1260,1757,1770
"YDR063W",854,883,775,570,353,276,335,417
"YDR064W",106,111,574,1768,2485,3736,6791,9315
"YDR065W",152,190,200,198,154,116,158,145
"YDR066C",102,93,59,92,66,54,50,33
"YDR067C",461,468,611,693,330,225,123,138
"YDR068W",993,1064,1035,1031,828,691,615,601
"YDR069C",1079,994,727,495,311,249,312,362
"YDR070C",3670,3611,2616,1187,363,170,45,36
"YDR071C",931,920,825,1010,981,1002,1214,1002
"YDR072C",447,384,482,192,155,184,335,357
"YDR073W",562,537,256,127,89,97,140,149
"YDR074W",9103,6833,2727,980,468,383,459,1307
"YDR075W",86,90,196,279,250,308,311,227
"YDR076W",35,26,51,78,84,116,139,90
"YDR077W",14446,11958,14916,15316,9636,7588,8090,9271
"YDR078C",93,95,91,85,55,52,77,70
"YDR079W",426,487,339,177,140,136,100,107
"YDR079C-A",75,52,73,73,61,53,69,52
"YDR080W",853,803,829,652,448,460,515,444
"YDR081C",519,504,725,919,682,588,680,528
"YDR082W",282,273,401,314,211,207,186,167
"YDR083W",30,35,221,679,666,1028,1377,659
"YDR084C",363,333,328,232,220,178,222,279
"YDR085C",1420,1417,645,296,181,97,100,123
"YDR086C",479,449,551,779,853,938,1219,1210
"YDR087C",7,10,118,424,494,681,896,418
"YDR088C",522,570,469,359,250,216,271,238
"YDR089W",638,560,1951,4653,2242,1186,495,496
"YDR090C",193,175,390,234,181,181,179,164
"YDR091C",70,72,565,1381,1436,1916,2370,1594
"YDR092W",291,247,265,291,321,377,409,375
"YDR093W",412,395,330,680,764,814,1051,996
"YDR096W",2325,1857,854,218,89,119,175,298
"YDR097C",100,105,105,409,842,1121,1283,885
"YDR098C",336,363,567,932,955,976,936,754
"YDR098C-B",1291,1204,1258,1349,1360,1549,1580,1511
"YDR099W",5767,5503,4581,3009,2048,2095,2258,2830
"YDR100W",885,899,621,263,192,180,135,209
"YDR101C",11,14,341,944,971,1383,1637,709
"YDR102C",0,1,1,5,6,10,5,5
"YDR103W",491,456,586,614,431,477,512,456
"YDR104C",492,485,544,510,381,326,333,309
"YDR105C",816,664,540,338,283,278,379,399
"YDR106W",13,14,21,21,16,11,15,20
"YDR107C",278,203,183,225,210,211,278,362
"YDR108W",218,200,255,344,312,324,331,297
"YDR109C",188,185,305,255,231,277,306,265
"YDR110W",118,116,294,461,465,510,569,377
"YDR111C",1068,1001,551,225,197,239,501,531
"YDR113C",230,210,112,220,295,366,427,475
"YDR115W",454,427,175,176,145,155,146,113
"YDR116C",661,619,320,219,180,182,170,166
"YDR117C",350,420,530,580,539,601,694,559
"YDR118W",280,291,225,155,150,146,244,259
"YDR118W-A",5,6,4,1,4,6,7,6
"YDR119W",356,307,621,931,757,815,1071,1007
"YDR119W-A",1983,875,247,69,10,8,5,20
"YDR120C",33,39,198,678,818,1156,1712,926
"YDR121W",62,63,111,240,295,311,384,269
"YDR122W",1565,1510,1193,889,639,504,595,758
"YDR123C",57,32,150,342,267,314,337,186
"YDR124W",41,28,34,52,48,34,52,60
"YDR125C",308,292,225,137,63,64,68,71
"YDR126W",68,64,86,86,75,77,98,73
"YDR127W",1129,1070,1080,2469,2758,2833,3587,3014
"YDR128W",936,806,884,860,636,600,803,632
"YDR129C",5513,5307,4619,3291,2168,2001,2202,2250
"YDR130C",246,244,157,234,207,226,220,226
"YDR131C",434,381,364,286,234,191,200,177
"YDR132C",299,331,246,144,114,134,133,103
"YDR133C",3629,3605,3170,1299,712,1161,2026,2820
"YDR135C",1190,1051,1149,1553,1594,1490,1735,1703
"YDR137W",808,838,606,478,436,447,553,480
"YDR138W",253,266,443,480,362,401,507,403
"YDR139C",149,194,214,282,288,305,379,316
"YDR140W",99,117,151,229,194,260,297,217
"YDR141C",1108,1032,966,1225,940,866,928,860
"YDR142C",459,375,233,242,142,114,158,111
"YDR143C",344,230,289,299,327,353,462,348
"YDR144C",24,33,169,447,538,781,1230,974
"YDR145W",1282,1240,1054,896,712,754,896,898
"YDR146C",340,291,185,724,802,982,1160,1002
"YDR147W",100,82,255,475,491,548,623,536
"YDR148C",3985,3450,2678,1563,980,793,686,792
"YDR150W",3826,3453,2736,1667,1148,1262,1397,1717
"YDR151C",396,416,463,363,201,186,286,292
"YDR152W",261,237,588,735,729,783,977,731
"YDR153C",754,712,892,949,622,591,587,532
"YDR154C",246,239,267,206,151,156,185,233
"YDR155C",1212,1149,1116,991,772,735,979,1274
"YDR156W",24,30,146,188,157,216,235,147
"YDR157W",4,0,12,19,5,19,9,14
"YDR158W",351,304,481,1221,1280,1687,3127,3457
"YDR159W",771,680,807,849,715,727,827,814
"YDR160W",542,477,570,516,339,260,278,266
"YDR161W",70,55,292,511,599,804,1182,622
"YDR162C",465,444,347,353,339,254,284,215
"YDR163W",338,359,352,359,260,218,227,195
"YDR164C",541,446,558,592,521,509,557,508
"YDR165W",61,76,315,852,917,1227,1529,803
"YDR166C",911,911,915,707,536,617,610,578
"YDR167W",325,345,354,376,429,381,395,324
"YDR168W",2019,2205,1868,1477,1263,1228,1396,1164
"YDR169C",1179,1007,682,526,351,331,390,381
"YDR169C-A",4,4,3,2,1,4,5,2
"YDR170C",1622,1592,1309,1715,1603,1925,2473,2527
"YDR170W-A",216,194,228,280,263,269,211,176
"YDR171W",9719,9182,6398,1814,356,122,148,473
"YDR172W",1326,1234,2044,2923,2649,3320,4172,3086
"YDR173C",277,209,138,119,88,86,119,132
"YDR174W",1307,1203,1274,965,807,974,1233,1116
"YDR175C",752,676,437,311,224,238,262,219
"YDR176W",761,730,637,615,572,628,771,814
"YDR177W",737,836,616,645,597,637,728,593
"YDR178W",2362,2130,1707,727,281,170,111,176
"YDR179C",29,34,70,111,116,163,192,131
"YDR179W-A",55,54,116,199,210,257,257,190
"YDR180W",92,79,143,386,335,422,492,351
"YDR181C",313,326,388,346,306,265,319,302
"YDR182W",845,676,668,605,541,570,674,647
"YDR182W-A",18,15,13,17,7,15,13,20
"YDR183W",126,142,187,187,188,153,174,152
"YDR183C-A",3,0,16,40,35,55,55,26
"YDR184C",5,16,83,231,235,331,329,174
"YDR185C",77,71,22,30,18,19,30,33
"YDR186C",1281,1159,1735,1865,1302,1235,1332,965
"YDR188W",926,840,1076,1247,1210,1431,1637,1343
"YDR189W",663,639,754,874,900,1026,1136,943
"YDR190C",434,409,987,1612,1651,1786,2023,1448
"YDR191W",57,58,102,109,103,108,79,71
"YDR192C",162,91,200,212,173,191,229,172
"YDR194C",745,808,1349,1366,1228,1161,1154,997
"YDR195W",325,309,521,382,323,286,403,350
"YDR196C",1038,1121,730,410,304,248,292,286
"YDR197W",653,522,307,219,164,167,189,147
"YDR198C",119,121,214,274,220,271,273,187
"YDR200C",735,673,644,587,457,524,570,551
"YDR201W",175,143,139,152,144,165,189,177
"YDR202C",1095,1162,718,322,208,171,224,286
"YDR204W",1630,1627,1268,563,280,216,177,197
"YDR205W",491,345,361,242,243,226,268,245
"YDR206W",557,531,919,1213,896,947,1052,851
"YDR207C",423,399,392,325,231,296,427,456
"YDR208W",1995,1722,1393,856,740,744,828,801
"YDR209C",0,0,1,1,0,1,2,7
"YDR210W",132,141,214,194,219,237,363,352
"YDR210W-B",957,1049,1031,1093,1248,1366,1329,1128
"YDR210C-D",1529,1476,1491,1559,1566,1830,1918,1762
"YDR211W",299,300,731,1702,1714,2059,2556,1693
"YDR212W",949,920,982,1282,1359,1585,1797,1522
"YDR213W",70,56,107,224,248,287,354,305
"YDR214W",1037,969,761,483,414,475,729,871
"YDR216W",4361,4129,2859,248,37,43,126,318
"YDR217C",199,207,395,613,655,737,851,643
"YDR218C",16,14,6,11,6,4,3,5
"YDR219C",953,788,509,323,335,360,383,453
"YDR220C",7,7,6,5,3,4,5,7
"YDR221W",508,529,612,603,492,512,485,454
"YDR222W",9,7,69,203,196,196,230,266
"YDR223W",209,199,170,48,28,14,22,32
"YDR224C",3612,3779,3861,2104,1142,1218,3423,5477
"YDR225W",2767,2971,2741,1626,850,730,2469,4127
"YDR226W",627,614,1142,2527,2996,3549,4611,3865
"YDR227W",572,579,701,951,821,871,980,863
"YDR228C",513,397,407,532,421,431,494,519
"YDR229W",952,867,652,381,252,265,281,322
"YDR231C",933,841,371,159,102,73,90,127
"YDR232W",844,738,844,595,430,514,568,479
"YDR233C",945,884,1208,1606,1319,1609,2540,2462
"YDR234W",75,115,286,555,562,959,1882,1105
"YDR235W",354,366,418,408,275,281,358,348
"YDR236C",185,218,285,314,248,198,224,230
"YDR237W",820,822,502,389,344,287,320,273
"YDR238C",1811,1734,1722,1830,1896,2452,3421,3110
"YDR239C",293,271,257,295,284,344,391,265
"YDR240C",97,83,191,242,193,223,212,193
"YDR241W",14,20,21,27,18,23,24,16
"YDR242W",252,255,486,417,198,110,110,114
"YDR243C",145,130,172,202,215,264,272,162
"YDR244W",1461,1223,662,468,453,399,443,373
"YDR245W",338,346,569,788,741,970,1222,1072
"YDR246W",396,410,299,165,140,130,108,128
"YDR246W-A",5,7,4,1,2,1,8,6
"YDR247W",791,605,252,137,84,140,154,177
"YDR248C",198,214,267,274,205,247,200,180
"YDR249C",30,29,107,100,93,111,132,83
"YDR251W",1979,1845,1648,1076,696,577,689,981
"YDR252W",48,61,66,39,41,41,53,47
"YDR253C",60,66,296,2011,872,83,7,8
"YDR254W",164,140,163,331,235,160,149,189
"YDR255C",1218,1156,473,268,138,83,84,108
"YDR256C",3746,3492,1237,104,29,19,35,40
"YDR257C",205,219,345,556,415,392,474,375
"YDR258C",5252,4464,2350,956,471,393,612,1100
"YDR259C",120,106,145,125,63,59,70,66
"YDR260C",69,82,105,112,134,109,164,102
"YDR261C",236,222,310,562,547,758,964,1033
"YDR261W-B",968,903,1073,1045,1243,1349,1281,1064
"YDR261C-D",2754,2643,2568,2676,2714,2907,3515,3018
"tG(GCC)D2",4,1,4,7,6,2,5,7
"YDR262W",733,686,494,379,236,286,306,297
"YDR263C",57,48,40,50,59,72,151,236
"YDR264C",1794,1727,1995,1726,1166,1051,1490,1927
"YDR265W",458,483,469,243,150,147,137,157
"YDR266C",468,427,704,928,844,967,1115,872
"YDR267C",181,197,242,297,269,303,332,280
"YDR268W",166,211,239,201,184,196,160,137
"YDR270W",529,464,754,800,269,233,376,786
"YDR272W",2059,2166,1718,1297,985,782,741,565
"YDR273W",181,124,111,65,42,46,84,90
"YDR275W",133,126,269,423,207,173,275,323
"YDR276C",2226,2171,1811,1352,690,572,688,841
"YDR277C",1120,965,182,17,15,17,32,91
"YDR279W",234,218,256,392,413,435,462,337
"YDR280W",199,189,378,425,378,387,446,392
"YDR281C",0,2,24,293,621,856,1097,395
"YDR282C",487,538,352,200,165,142,148,145
"YDR283C",909,823,674,901,931,856,1047,947
"YDR284C",668,751,647,514,364,343,390,480
"YDR285W",300,307,344,271,162,158,146,170
"YDR286C",152,148,121,122,79,90,86,69
"YDR287W",746,735,691,455,274,263,250,224
"YDR288W",421,421,267,253,206,207,236,215
"YDR289C",662,637,476,369,404,319,367,337
"YDR291W",443,379,486,572,470,450,517,408
"YDR292C",756,785,829,885,946,1056,1320,1105
"YDR293C",5435,4675,3561,2547,1657,1456,1454,1649
"YDR294C",1275,1340,1492,1167,735,765,863,811
"YDR295C",364,328,439,502,409,368,399,380
"YDR296W",918,873,426,261,224,198,195,172
"YDR297W",180,211,343,327,453,855,1261,762
"YDR298C",1811,1884,1724,1257,742,620,558,688
"YDR299W",17,30,569,1111,1095,1423,1613,830
"YDR300C",50,41,181,470,622,723,973,632
"YDR301W",448,441,479,723,556,500,654,583
"YDR302W",107,117,165,176,195,239,306,305
"YDR303C",432,412,557,990,800,907,1073,800
"YDR304C",2112,2254,2003,1573,1235,1269,1479,1611
"YDR305C",290,286,223,211,191,165,177,182
"YDR306C",1173,1045,784,394,274,229,229,218
"YDR307W",567,520,448,425,378,352,512,497
"YDR308C",176,175,229,207,193,180,190,157
"YDR309C",89,85,414,1100,694,792,997,895
"YDR310C",906,812,793,966,821,1039,1385,1111
"YDR311W",641,647,601,522,416,392,488,402
"YDR312W",96,95,335,524,539,636,679,354
"YDR313C",442,362,212,189,133,118,148,155
"YDR314C",493,457,398,214,130,125,122,118
"YDR315C",154,169,185,246,184,154,106,114
"YDR316W",915,817,488,433,326,285,287,289
"YDR316W-B",2051,1885,1908,2105,2108,2339,2694,2306
"YDR317W",16,16,32,25,14,23,24,13
