x,,
M+Na[1+],1,-22
M[1+],1,-1
M(C13)+3H[3+],3,-4
M+H[1+],1,-1
M-HCOOH+H[1+],1,45
M-CO2+H[1+],1,43
M+NaCl[1+],1,-57.5
M+HCOONa[1+],1,-67
M+2H[2+],2,-2
M(C13)+H[1+],1,-2
M(S34)+H[1+],1,-3
M(Cl37)+H[1+],1,-3
M-CO+H[1+],1,27
M+HCOOK[1+],1,-85
M-C3H4O2+H[1+],1,71
M-NH3+H[1+],1,16
M-HCOOK+H[1+],1,83
M-H2O+H[1+],1,17
M-H4O2+H[1+],1,35
M+H2O+H[1+],1,-19
M+H+Na[2+],2,-24
M+K[1+],1,-39
M-HCOONa+H[1+],1,-69
M+3H[3+],3,-3
M(C13)+2H[2+],2,-3
