"m.z","p.value","t.score"
72.081,0.000848323759190998,-5.66478849878822
72.0811,0.0176217609437265,-3.29450886997086
74.0238,0.015022250866328,-3.4122779875776
74.0602,0.00813519645326876,-3.83860448207838
76.0396,0.00134084334241742,-5.26572195514232
81.0336,0.00443135304583835,-4.30761473025877
84.086,0.000913700589407088,-5.59893165392958
84.9689,0.00586449924920501,-4.0824820094291
85.0286,1.7291977708849e-06,13.1084940928994
85.0843,0.000137536479962015,-7.44083553849682
86.0966,0.00103335393590483,-5.49103829372734
87.0999,0.000322816232921249,-6.60287149126141
88.0395,0.0159793633758939,-3.36736602833906
90.0916,0.201152369836015,-1.52751858528399
95.0192,0.00222952821653027,-4.84247575730079
97.0286,1.73787982432387e-06,13.0852613631069
97.0762,2.97088724171043e-06,12.1662944249262
98.9847,2.65361242747085e-05,-9.23974517842724
100.9886,6.00228072907637e-05,-8.33908941406873
101.0711,0.00611228415491143,-4.05379902225001
101.107,0.00043381787627431,-6.31102314635447
101.1423,0.00197031858587204,-4.94881982965466
102.0572,0.000936006744825998,-5.57489130635161
102.128,0.192814203439198,-1.56105001644672
103.0586,0.0175942229157012,-3.29656111965197
103.1227,0.0295937064648069,-2.9175432552308
104.053,0.00132091574885073,-5.28289386046472
105.0036,0.00340417960542736,-4.51157832471961
107.0076,0.000141962283291523,-7.40877325639778
108.0658,0.00441769828732896,-4.31117459097036
110.0715,0.0016492444256395,-5.09247013908901
112.043,0.00564505356637037,-4.12397660841973
112.0508,0.000848323759190998,-5.66273865412485
112.0758,0.00103721674341719,-5.482816742275
113,0.026780374483831,-2.99490713899447
113.0343,0.0440301325465276,-2.6246079088139
113.0348,0.00667865314250812,-3.98740163126719
114.0381,0.005851212302411,-4.09096594271714
116.0709,0.0284213767615802,-2.94707858169579
116.9951,0.002363786804978,-4.79213482920289
117.0009,0.000119284288658157,-7.60639408845269
117.0741,0.0299753621751354,-2.90258304797026
118.0013,0.0309378242244991,-2.87803531196752
118.0502,0.0298078743279265,-2.91039518717431
118.0653,0.00858018006182246,-3.80075719153096
118.1562,0.110325813709591,-1.97477308847274
118.1712,0.0252694647388837,-3.03812937933999
119.0193,0.00385816834169499,-4.40964393886076
119.0342,0.00076390368915585,-5.76271652656986
119.0897,0.000504485999262082,-6.15020578231043
119.9944,0.993430870804397,-0.0106693135695932
120.0658,0.00107175940812842,-5.45310469090216
120.0805,0.00691315556374168,-3.96185482029199
120.1367,0.912005271797764,0.140163148886179
121.0843,0.00586449924920501,-4.08381996019
122.0714,0.0153419479467345,-3.3950555085725
123.014,0.00103721674341719,-5.48115378005197
123.0555,0.00366462581766393,-4.45377238295953
123.0767,0.023977814982744,-3.07617038608481
124.0395,0.224546972774487,-1.44773639712186
124.0589,0.00385816834169499,-4.40964156328277
124.9229,0.0129704762595709,-3.51190754333062
127.0393,1.82270541011302e-07,17.1590069280806
129.0185,0.321470638616027,-1.1666574919278
129.0339,0.00581755601119563,-4.09660494043928
129.9697,0.24884699318177,-1.37077813395209
130.0654,0.000363237079009154,-6.49116301742538
130.0978,0.015026877086373,-3.41091885112421
130.1304,0.354314259276304,-1.0903459606332
131.0494,0.00205411987422828,-4.91296240805104
131.1182,0.000461731356491822,-6.24184468320354
132.0013,0.0284213767615802,-2.94772138742898
132.0199,0.000657725331641714,-5.89773792170105
132.02,0.166509896141152,-1.67313688352606
132.0658,0.0513614020600299,-2.50977728554294
132.0805,0.00385816834169499,-4.41267622221896
132.1022,0.00129130729697616,-5.30554114667312
132.1849,0.104252479049227,-2.01332113179085
132.9986,0.000228599076725667,-6.92893083044856
133.0612,0.0253955692704827,-3.03315030432408
133.0975,0.00441354334359052,-4.31337426621497
133.1054,0.000198210299713281,-7.06364579393802
134.0451,0.197045180064175,-1.54431688646824
134.0814,0.00752627447704069,-3.89981251574579
134.1291,0.948972683242343,0.0784538473030572
135.0293,0.171219827860159,-1.65059053350646
135.0483,0.0255803166871425,-3.02787605256773
136.043,0.00346432687202903,-4.4969610288081
136.0621,0.0769282040759422,-2.23040017060083
136.0755,0.00132108992344885,-5.28054807303421
137.0462,0.000889985935254231,-5.62041350270137
137.0653,0.0350517851817955,-2.79391381059537
137.0761,0.155120410245722,1.72527195059214
137.0793,0.000350362030942402,-6.52686316066409
138.0331,0.00149918676496548,-5.18166885365445
138.0493,3.03167535835081e-09,29.0036556317933
138.0494,6.77809181263039e-05,-8.20734519650925
138.0552,0.000651371090626033,-5.91629127169696
141.0661,0.0879875038107125,2.14069169272407
142.0324,0.000129975186790628,-7.50904241946783
142.5898,0.0765012638049459,-2.23480353405794
142.9389,0.000179353395421725,-7.17318818317478
143.0046,0.000174041810924242,-7.20738570037535
143.0732,0.000424705957329313,-6.33755805243452
143.1177,0.0110561134334845,-3.62761546715668
144.0481,0.192732337815958,1.56275702239367
144.0659,4.17711588245367e-05,8.70524192240001
145.0514,0.0131400464919452,-3.50172018081836
145.0694,0.757233656802693,0.373008365533406
145.1333,0.00355406805039534,-4.47690171115945
146.0273,0.0017605170769414,-5.0416269036541
146.0815,0.0018016287581695,5.02385011314145
146.1178,0.0943149472228293,-2.09005199540696
147.0143,0.000651371090626033,-5.91853524465956
147.0145,0.158802712845706,-1.70924037027961
147.0291,0.000110986961232895,-7.69300015242089
147.0718,0.000438369890669766,-6.29631370422224
147.0739,0.0505037950338,-2.52384566392416
147.0769,0.0728841152339008,-2.27343074682776
147.1131,0.0192682852443498,-3.23058316603147
147.2094,0.0660798704826313,-2.33749956312699
147.2314,0.440708719352017,0.905523907443996
147.8623,0.0308403567586412,-2.88179649017099
147.9411,0.419983202425216,-0.948200747704701
147.9629,0.455028910850452,-0.876301789072838
148.0579,0.805872769242815,0.300350130617533
148.0609,7.98664716525738e-05,-8.03284000384219
148.0799,0.0269727000474274,-2.98768098636109
148.1084,0.000183409136193818,-7.14999659103763
148.1164,0.000657725331641714,-5.89949617724159
148.158,0.691949742546537,-0.473445714439794
148.1799,0.0942623891077106,-2.09193837295925
149.0299,0.0122343434983472,-3.55058466794481
149.0448,0.0219885731387958,-3.13654228622598
149.0641,0.018559282738956,-3.25492849736483
149.1196,0.000553849258420173,-6.07022441007033
150.0581,0.0440301325465276,-2.62480830918793
151.009,0.000119284288658157,-7.60887857816239
151.0619,0.0333690749484846,-2.82629406111236
151.0792,0.000185859701611955,7.13451335098232
152.0321,0.307263383293156,-1.20398235277547
152.0544,0.00384464138917114,-4.41791381500104
152.057,0.0135061263089135,-3.48407931131412
152.0571,0.000365835306633166,-6.48197660988545
152.1109,0.000146058187459451,-7.37500041328605
153.0661,0.47759858168374,-0.831523960613969
154.0502,0.000675868458572272,-5.87476354180823
154.942,0.000379448887104282,-6.44618246907915
155.0818,0.00409024841045343,4.36836492457593
156.0363,3.262108790701e-05,8.99568839176153
156.0771,0.00156081801642711,-5.14519454913856
156.5929,0.003735260122033,-4.4398028324133
157.0611,0.00161434436531244,-5.11134353304035
157.0803,0.000999984533815311,-5.51688063140178
159.0915,0.0297465667896968,-2.91325223400334
160.076,0.250801314886265,-1.36486093567268
160.0761,0.00781432548886401,-3.87401161158393
160.0973,0.517411306959864,0.759574739875994
161.1072,0.010834983466,-3.64359672112145
161.1283,0.00524627053266778,-4.17901381299792
162.0586,0.556846825931005,-0.686884974478172
162.0765,0.0217201793241511,-3.14804799953463
162.0917,0.0850354913757857,-2.16564468189005
163.0793,0.0246512009441305,-3.0567956039077
164.0407,0.0406919072290916,-2.68301464841356
165.9707,0.00699050114467203,-3.95358986647994
166.0536,0.65414092892177,-0.529659296210002
166.0868,0.186871147732178,-1.58397567216681
166.2029,0.00283316904946983,-4.64342204596837
167.0819,2.35482496418831e-05,9.37730133577271
167.0899,0.00104886179428377,-5.47082234442041
167.0931,0.000478825785770904,-6.19627502745374
167.1182,0.72197914916233,-0.425989069077892
168.077,0.10200101815384,-2.03249816400267
168.0931,0.000575215426116006,-6.03565543194106
170.0657,1.24355325481496e-05,-10.1638500663315
170.0671,0.000133973856036995,-7.47785451145791
170.0815,0.933436794650912,-0.104624077026442
171.017,0.000241086759683629,-6.87321875867017
172.061,0.576218788983839,-0.656305127274944
172.0972,0.198315988732892,-1.53805432154077
172.9527,8.78316262333204e-05,-7.92953986104265
173.0213,1.12523531529716e-05,10.303516969464
173.092,0.00112691904518763,-5.41519539449193
174.039,0.118693303282175,-1.92163717537827
174.0765,0.00990351416490061,-3.70437906642135
174.9385,0.996464009285162,-0.00454372643235682
174.9658,0.879849521263254,0.1881614550676
174.9935,0.303636032369299,-1.21293201907192
175.1081,0.000148546728409068,-7.35589747770653
175.1155,0.210388320996706,-1.49431952262432
175.1193,0.597782017990738,-0.620173672946026
175.2446,0.118853706265321,-1.91932258781218
176.0557,0.00194561868864368,4.95951239114693
176.0743,0.448570989043835,-0.890410300956531
176.1224,0.00117712559985788,-5.37741980727385
177.0511,0.0217978112273003,-3.14380346401564
177.0955,0.000633882293530121,-5.94520001054232
178.0714,0.0169048827387162,-3.32755038641702
178.121,0.000473827767757285,-6.2074492290377
179.023,0.0171045692721707,-3.31780853584653
179.0483,0.00076390368915585,-5.76717080417135
179.0488,0.117232169937016,-1.93062679561777
180.087,1.67552195341597e-07,17.3691469512733
181.0431,0.128717784166355,-1.86347027495833
181.0612,0.0427417787045272,-2.64989802228994
181.0613,0.0465347251969653,-2.58702866814153
181.0712,3.03167535835081e-09,28.8563626647909
181.0904,2.29463550844203e-05,9.41161420380053
181.0975,0.580919064660021,-0.647729172382798
182.0817,0.319185560403914,-1.17238116604107
182.5283,0.0058914622552013,-4.07817362769391
183.052,0.0741873105383145,-2.25656529806898
184.0737,0.235580717412731,-1.40916307587866
184.0881,4.17711588245367e-05,-8.71025007824552
185.0926,0.168760378426362,1.66255791757206
185.1289,0.0122428654511496,-3.54895006165629
186.0506,0.288614788077902,-1.25361441613354
186.0725,0.01211882518847,-3.55872339228723
186.9589,0.00540483455986608,-4.15877682783953
187.054,0.273400664469307,1.29679096929289
187.0673,0.160948226201082,-1.69724800497952
187.1082,0.0291600511216967,2.92911824943789
187.6239,0.00330402314460672,-4.53438360162277
188.0745,0.093327319232362,-2.10020998733687
188.0921,6.41929598322815e-06,11.0171073756828
188.1159,0.00395208654269125,-4.39199349687321
189.0526,1.63047097173077e-06,-13.2404506021892
189.1238,0.000428891615245279,-6.32321138434541
189.1239,0.0508578528355727,-2.51722011902795
190.0715,0.000585284193715722,-6.01961609999835
190.09,0.125606368182779,-1.87984464180277
190.1079,0.0215092206518521,-3.15594387823234
190.1271,0.0208625656085167,-3.17933597051478
190.9539,0.00222952821653027,-4.84392083365118
191.0319,0.110738468182605,-1.96950656300186
191.0392,0.000294025670516036,6.69400380650368
192.0329,0.711151149986778,-0.442260225200567
192.087,1.13562983943694e-07,18.3563108728416
193.0024,0.00154686228268706,-5.15788594237499
193.0348,0.282354315044176,-1.2714662228912
193.0904,4.13304937065676e-05,8.72843234815735
193.1188,0.0623723227505139,-2.37789567118853
193.5702,4.98466048981863e-06,-11.3878781505914
194.0331,0.00041349224187583,-6.36860164363461
194.0845,0.000469774027961612,-6.22040983251257
195.0365,0.000187257889450201,-7.12392421888272
195.0592,0.00915509676526135,-3.75599573948304
195.6158,0.0114209737959652,3.60678398720246
196.0313,0.000839080911223875,-5.68104883677167
196.9615,0.0765012638049459,-2.2344772207
197.1014,0.0217978112273003,-3.14484049987741
198.0878,0.0369570344883346,-2.75739620762734
199.0581,0.0379377418596721,-2.73566747397057
199.1082,0.0406919072290916,2.68348655461732
199.624,0.000469774027961612,-6.21968499483963
200.0445,1.91985500082657e-06,12.9169319206182
200.0921,0.186871147732178,1.58384518892345
200.9381,0.000678963541690659,-5.86701411548472
200.9476,1.34242334897942e-05,-10.0553462297995
201.0697,0.96753437106232,-0.0504204946620577
202.0601,0.135009418479743,1.82841304289978
202.6236,0.000196600519243026,7.07465890675344
202.9312,0.00215447067835415,-4.87116601875752
204.0871,2.72018642255768e-06,12.3344536571303
204.0894,0.0379377418596721,-2.73626157857644
204.1235,0.00625500646911714,4.03371825804662
204.1237,0.0185165484529798,3.25739806489012
204.1348,0.00096299574966549,-5.5487406848401
204.9032,0.00840116187730183,-3.81759508024612
204.9694,0.00103696304895623,-5.48613727138697
205.0735,0.00662368742746068,-3.99533767297515
205.08,0.227998101450214,-1.43562071212916
205.0825,0.000415438621993955,-6.36151233043629
205.0977,0.796327379840451,-0.31370119350761
206.0832,0.179041503465879,-1.61814014931657
206.1004,0.162998959401951,-1.68862751573051
206.1028,0.110725015126965,1.97033343984721
206.1867,0.00880775325197336,-3.78216400150607
206.8863,0.11870514526898,-1.92082765396915
206.9261,0.00197031858587204,-4.94698427118933
207.018,0.000213970307514898,-6.99585650005745
207.051,0.0677874217752889,-2.32008718774993
207.0524,0.545513197056193,-0.709703863764653
207.0756,0.0299753621751354,-2.90306010932178
207.1037,0.0209971730069346,-3.174459646326
208.0643,0.347635940889655,-1.10544284982404
208.9974,0.171347604419147,-1.64940010675406
209.0498,0.0212252942264075,3.16701146205276
209.092,0.0497192552809808,-2.53669641708672
209.1037,0.416577594810006,-0.957353720815698
210.0766,0.000984798831088627,-5.53025969192236
210.0959,0.00172591306842369,-5.05723552925627
210.9487,0.00172591306842369,-5.05830496479981
210.9488,4.98466048981863e-06,-11.3847996841636
211.0948,0.00161278328183628,5.11625530983513
211.1194,0.455654707954477,-0.874470135303952
211.5233,5.94198474612426e-06,-11.124177162938
212.1398,0.466123847981524,0.852941616400432
213.0754,0.0546265798576572,-2.46706396265693
213.1239,0.977244646943184,0.0328944307743761
214.0786,0.0280667439615415,-2.95940071055066
214.0843,0.146535153088413,-1.76797845716165
215.0734,0.0434456398717082,-2.63681843874029
215.1395,1.63125084353431e-06,-13.2227029879412
216.0637,0.152707028788546,-1.74010870699898
216.0873,0.684852039385827,0.485706492042542
216.92,0.000619139254144222,-5.96567824670623
217.0136,0.00346432687202903,-4.49682421602521
217.13,0.0104569514924751,-3.66633142322311
218.0429,1.70591797154854e-07,17.3064879972225
218.0665,0.000438369890669766,6.29845695109443
218.0746,0.0291600511216967,2.92978249665186
218.1027,1.6765113860625e-05,9.7895361081638
218.1028,0.0343645186541689,2.80821167767483
