Sample,wt_H1,wt_L4,wt_L5,wt_L6,wt_H2,wt_H3,wt_H4,wt_H5,wt_H6,wt_L1,wt_L2,wt_L3
Label,wt_H,wt_L,wt_L,wt_L,wt_H,wt_H,wt_H,wt_H,wt_H,wt_L,wt_L,wt_L
269.0306,134266.039,128629.0332,115350.3317,55957.47637,149381.1021,146638.3278,45920.64823,137764.0685,124714.9674,101669.5513,39201.31302,116802.3736
435.2964,13964.54385,5971.783997,34363.99227,8023.247466,1040705.371,6372.529209,5845.86231,12644.85227,11330.82807,11765.481,45816.46102,4863.185446
181.0904,31700.05149,39.31929649,0,14.40877357,12750.9032,10852.90101,11574.83228,7907.981199,14032.05113,0,9.950190397,0
352.9921,281117.1239,288881.7415,241619.2291,100643.5389,314135.8056,314769.769,63798.47377,311594.2337,204040.9358,193003.081,79382.70402,234438.4478
445.9177,16900.1689,17729.89285,30462.03332,23389.72981,20911.07924,26928.99181,12970.93396,16144.53989,10564.86539,28409.91147,21289.83664,26862.49209
239.1032,4861.612799,1268.447118,1482.279727,43672.50215,1515.634219,503.5121374,7463.439933,1373.022719,9880.632078,1582.19351,54488.50184,1483.376792
297.1799,122028.784,0,122.3159595,505.1656337,71550.55512,37184.59857,56086.16198,48040.49122,53071.19593,0,0,0
257.0141,53303.2896,4717.415477,6626.877956,3821.757747,42315.08065,43719.16221,32652.9158,29832.38673,34745.33046,6150.084299,2251.495314,7241.250597
159.0768,1774.905792,2728.250034,2502.643659,3871.059285,2278.559638,2878.588718,2880.562139,3429.302855,2652.258666,1888.674537,1838.811092,1798.468766
219.1135,8037.521776,5909.308219,5914.92111,5143.979636,6503.672568,6107.41502,4562.569026,4394.199348,4913.581828,4676.302388,5020.89801,4334.179374
557.3496,0,326.2898778,0,0,0,0,0,0,0,145.7328696,1013.200485,0
296.1347,45597.54991,0,0,0,58319.14278,19956.31595,8803.336209,20875.28068,12752.5695,0,0,217.4090506
662.4769,176669.5475,142787.179,110136.5375,149820.4531,152395.3154,158711.1528,85795.44333,145330.2992,122586.8365,148799.6994,74489.48908,127892.1711
119.0342,25291.35131,18719.3925,20962.82498,25221.64495,25305.53326,25727.36743,11924.55586,15347.32666,16393.80698,24559.32041,14051.54904,19441.98566
400.146,49510.85328,0,0,0,37717.12947,62485.37433,10545.86255,17764.92574,30122.11,0,0,0
233.0087,51569.09067,38468.66179,48317.49578,30203.85809,57542.07449,47413.15,36646.90459,32562.66082,43584.42094,45158.55896,25955.76622,38639.43946
252.1083,1015105.464,3181.009032,3137.248082,3888.415406,1101065.667,547479.2871,732639.622,667337.3225,555152.6281,2715.334811,3038.995089,4713.238465
270.092,142122.0966,16972.31817,19649.31651,15305.02206,154191.0956,153707.8052,87379.97986,132371.6656,113741.049,17780.52582,10591.31166,16598.81015
567.4997,729035.3308,708450.1373,593681.6598,643168.7025,818112.875,620295.2242,414991.7981,587804.5258,559045.3317,747959.3428,389704.7736,744710.8505
760.514,189870.9178,147058.4358,60100.32258,132962.3128,133844.9254,139329.4987,80411.03882,117041.644,153256.4164,125529.228,62400.2766,129338.0279
136.0755,253576.1792,196874.8898,219810.1079,153713.0681,261247.8113,263535.5389,121656.0029,183312.7551,186679.6762,242501.0452,117365.0625,203537.6725
162.0917,10863.20983,8397.974985,9906.962728,7584.97369,8235.471312,7805.858562,7098.651828,7465.0462,10452.70778,9194.158811,4089.021769,5410.224234
405.0951,9535.044648,1102.494162,1167.113133,3439.481774,10328.36572,12818.87276,20434.12308,19326.74821,17400.47151,1867.313469,2884.744465,2089.16737
164.0744,2669.106132,1683.554687,1654.906483,2007.635616,2451.724172,2407.021714,963.8597998,1850.826114,2077.124368,1738.336175,1521.675335,1527.11179
347.2588,170220.364,40252.94499,39118.07144,67139.45808,55551.16449,43061.91089,52834.37715,49035.15179,41499.08987,53636.60151,68894.17738,33870.77244
148.1164,362060.7141,355655.7257,341043.6765,278639.9453,362481.8096,354430.2779,186169.3069,372008.4415,254256.1496,330979.2773,259670.5949,383888.3085
285.016,4636.963908,712.9361577,368.4913004,271.4972478,5346.756157,5342.877275,0,756.8656429,672.8730265,8614.536491,2589.079692,6653.767555
210.194,863.1508006,684.1075876,609.3664075,662.1722948,456.6521613,381.9307839,271.1635648,685.1805074,990.0866428,750.2271146,569.398522,435.3538751
135.0293,71662.07178,34297.47789,33752.98102,23239.14245,76872.91113,76893.11271,19319.16483,35733.98937,31810.81914,88847.81764,46758.30663,80984.47881
1359.1651,17873.91595,10680.77056,9763.59846,4324.478214,23834.12505,22474.49111,449.1845841,15409.95688,3724.590747,9716.511127,1097.824668,7561.543698
