rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
2-aminobutyrate transport	1	H+	product	cytoplasm
MNXR118730	1	uridine 2'-phosphate	reactant	cytoplasm
MNXR118730	1	H2O	reactant	cytoplasm
MNXR118730	1	uridine	product	cytoplasm
MNXR118730	1	phosphate	product	cytoplasm
MNXR136675	1	H+	reactant	extracellular
MNXR136675	1	uridine 2'-phosphate	reactant	extracellular
MNXR136675	1	uridine 2'-phosphate	product	cytoplasm
MNXR136675	1	H+	product	cytoplasm
MNXR94932	1	3'-UMP	reactant	cytoplasm
MNXR94932	1	H2O	reactant	cytoplasm
MNXR94932	1	uridine	product	cytoplasm
MNXR94932	1	phosphate	product	cytoplasm
MNXR94982	1	H+	reactant	extracellular
MNXR94982	1	3'-UMP	reactant	extracellular
MNXR94982	1	3'-UMP	product	cytoplasm
MNXR94982	1	H+	product	cytoplasm
MNXR137072	1	Gly-Met	reactant	extracellular
MNXR137072	1	H+	reactant	extracellular
MNXR137072	1	H+	product	cytoplasm
MNXR137072	1	Gly-Met	product	cytoplasm
MNXR137072_cv	1	H+	reactant	cytoplasm
MNXR137072_cv	1	Gly-Met	reactant	cytoplasm
MNXR137072_cv	1	H+	product	vacuole
MNXR137072_cv	1	Gly-Met	product	vacuole
MNXR123343	1	Gly-Met	reactant	vacuole
MNXR123343	1	H2O	reactant	vacuole
MNXR123343	1	L-methionine	product	vacuole
MNXR123343	1	L-glycine	product	vacuole
MNXR111061	1	N-phosphocreatine	reactant	cytoplasm
MNXR111061	1	creatinine	product	cytoplasm
MNXR111061	1	phosphate	product	cytoplasm
N-phosphocreatine transport	1	H+	reactant	extracellular
N-phosphocreatine transport	1	N-phosphocreatine	reactant	extracellular
N-phosphocreatine transport	1	N-phosphocreatine	product	cytoplasm
N-phosphocreatine transport	1	H+	product	cytoplasm
creatinine transport	1	H+	reactant	extracellular
creatinine transport	1	creatinine	reactant	extracellular
creatinine transport	1	creatinine	product	cytoplasm
creatinine transport	1	H+	product	cytoplasm
MNXR95943	1	H+	reactant	cytoplasm
MNXR95943	1	N(omega)-phospho-L-arginine	reactant	cytoplasm
MNXR95943	1	ADP	reactant	cytoplasm
MNXR95943	1	ATP	product	cytoplasm
MNXR95943	1	L-arginine	product	cytoplasm
MNXR95947	1	H+	reactant	extracellular
MNXR95947	1	N(omega)-phospho-L-arginine	reactant	extracellular
MNXR95947	1	N(omega)-phospho-L-arginine	product	cytoplasm
MNXR95947	1	H+	product	cytoplasm
MNXR117325	1	2',3'-cyclic GMP	reactant	cytoplasm
MNXR117325	1	H2O	reactant	cytoplasm
MNXR117325	1	H+	product	cytoplasm
MNXR117325	1	guanosine 2'-monophosphate	product	cytoplasm
MNXR94721	1	2',3'-cyclic GMP	reactant	extracellular
MNXR94721	1	2',3'-cyclic GMP	product	cytoplasm
MNXR104998	1	H2O	reactant	cytoplasm
MNXR104998	1	O(4)-phospho-L-tyrosine	reactant	cytoplasm
MNXR104998	1	L-tyrosine	product	cytoplasm
MNXR104998	1	phosphate	product	cytoplasm
MNXR137095	1	H+	reactant	extracellular
MNXR137095	1	O(4)-phospho-L-tyrosine	reactant	extracellular
MNXR137095	1	O(4)-phospho-L-tyrosine	product	cytoplasm
MNXR137095	1	H+	product	cytoplasm
MNXR103069	1	triphosphate	reactant	cytoplasm
MNXR103069	1	H2O	reactant	cytoplasm
MNXR103069	1	phosphate	product	cytoplasm
MNXR103069	1	diphosphate	product	cytoplasm
MNXR135003	1	H+	reactant	extracellular
