rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
R02480	1	Cytochrome c	reactant	mitochondrion
R02480	1	Apocytochrome c	product	mitochondrion
R02480	1	ferroheme b	product	mitochondrion
R02855	1	(R)-acetoin	reactant	cytoplasm
R02855	1	NAD	reactant	cytoplasm
R02855	1	diacetyl	product	cytoplasm
R02855	1	NADH	product	cytoplasm
R02855	1	H+	product	cytoplasm
R02855_2	1	(R)-acetoin	reactant	nucleus
R02855_2	1	NAD	reactant	nucleus
R02855_2	1	diacetyl	product	nucleus
R02855_2	1	NADH	product	nucleus
R02855_2	1	H+	product	cytoplasm
6.3.5.6-RXN	1	H2O	reactant	mitochondrion
6.3.5.6-RXN	1	ATP	reactant	mitochondrion
6.3.5.6-RXN	1	L-glutamyl-tRNA(Gln)	reactant	mitochondrion
6.3.5.6-RXN	1	L-glutamine	reactant	mitochondrion
6.3.5.6-RXN	1	ADP	product	mitochondrion
6.3.5.6-RXN	1	phosphate	product	mitochondrion
6.3.5.6-RXN	1	Gln-tRNA(Gln)	product	mitochondrion
6.3.5.6-RXN	1	L-glutamate	product	mitochondrion
6.3.5.6-RXN	2	H+	product	mitochondrion
MNXR100968	1	Met-Ala	reactant	vacuole
MNXR100968	1	H2O	reactant	vacuole
MNXR100968	1	L-methionine	product	vacuole
MNXR100968	1	L-alanine	product	vacuole
MNXR116282	1	ADP-D-ribose 1''-phosphate	reactant	cytoplasm
MNXR116282	1	H2O	reactant	cytoplasm
MNXR116282	1	ADP-ribose	product	cytoplasm
MNXR116282	1	phosphate	product	cytoplasm
R02364	2	quinone	reactant	cytoplasm
R02364	1	H+	reactant	cytoplasm
R02364	1	NADPH	reactant	cytoplasm
R02364	2	1,4-benzosemiquinone	product	cytoplasm
R02364	1	NADP(+)	product	cytoplasm
R05970	1	UDP-N-acetyl-alpha-D-glucosamine	reactant	endoplasmic reticulum
R05970	1	N-Acetyl-D-glucosaminyldiphosphodolichol	reactant	endoplasmic reticulum
R05970	1	UDP	product	endoplasmic reticulum
R05970	1	N,N'-Chitobiosyldiphosphodolichol	product	endoplasmic reticulum
R05970	1	H+	product	endoplasmic reticulum
MNXR106807	1	ADP-ribose	reactant	cytoplasm
