rxnID_yeast_model	genes_yeast_model	final_GPR
r_0308	YGL184C	( YFR055W or YGL184C )
r_0148	YDR226W	( YDL166C or YDR226W )
r_1729	NAN	YDL166C
r_1077	YNR012W	( YDR020C or YNR012W )
r_1078	YNR012W	( YDR020C or YNR012W )
r_0226	(( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR322C-A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YPR020W ))	(( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR322C-A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YPR020W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR322C-A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YJL180C and YLR393W and YNL315C and YOL077W-A and YCL005W-A))
r_0364	YBR252W	( YJR069C or YBR252W )
r_0815	YAL012W	( YLL058W or YML082W or YAL012W )
r_0448	YJL155C	( YLR345W or YJL155C )
r_0534	( YCL040W or YFR053C or YGL253W )	( YLR446W or YCL040W or YFR053C or YGL253W )
r_0533	( YFR053C or YGL253W )	( YLR446W or YFR053C or YGL253W )
r_0535	( YFR053C or YGL253W )	( YLR446W or YFR053C or YGL253W )
r_0477	YKL104C	( YMR084W or YKL104C )
r_2116	( YMR170C or YER073W or YOR374W )	( YMR110C or YMR170C or YER073W or YOR374W  )
r_0172	( YMR169C or YMR170C )	( YMR110C or YMR169C or YMR170C )
r_0483	( YBR244W or YCL035C or YDR513W or YIR037W or YKL026C )	( YNL229C or YBR244W or YCL035C or YDR513W or YIR037W or YKL026C )
r_2025	NAN	YNR027W
r_1185	YBR293W	( YOL092W or YBR293W )
r_1200	( YBR293W or YCL069W or YMR088C )	( YOL092W or YBR293W or YCL069W or YMR088C )
r_1212	( YBR293W or YCL069W or YMR088C )	( YOL092W or YBR293W or YCL069W or YMR088C )
r_0366	( YGR254W or YHR174W ) 	( YPL281C or YGR254W or YHR174W or YMR323W or YOR393W)
r_1805	NAN	( YBR241C or YGL104C )
r_0783	YLR328W	( YCL047C or YLR328W )
r_0530	( YDR376W and YPL252C )	( YER141W or (YDR376W and YPL252C) )
r_1084	YKL035W	( YHL012W or YKL035W )
r_0475	NAN	YFL060C
r_4049	NAN	( YBL035C or YBR278W or YCR014C or YIR008C or YKL045W or YDL102W or YDL164C or YDR121W or YDR419W or YJR006W or YJR043C or YNL102W or YNL262W or YOR330C or YPL167C or YPR175W or YKR002W )
r_4050	NAN	( YBR154C or YHR143W-A or YIL021W or YKL144C or YKR025W or YFL036W or YDL140C or YDL150W or YDR045C or YDR156W or YDR404C or YGL070C or YJL011C or YJL140W or YJL148W or YJR063W or YNL113W or YNL151C or YNL248C or YNR003C or YOL005C or YOR116C or YOR151C or YOR207C or YOR210W or YOR224C or YOR340C or YOR341W or YPR010C or YPR110C or YPR187W or YPR190C )
r_0438	(( Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C ) or ( Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W ) or ( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YJR048W and YLR038C and YLR395C and YMR256C ) or ( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YJR048W and YLR038C and YLR395C and YMR256C and YNL052W ))	(( Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C ) or ( Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W ) or ( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YJR048W and YLR038C and YLR395C and YMR256C ) or ( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YJR048W and YLR038C and YLR395C and YMR256C and YNL052W ) or (Q0045 and Q0250 and Q0275 and YDL067C and YHR116W and YDR231C and YGR062C and YJL003W and YPL132W and YLL018C-A))
r_1166	( YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W )	( YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W  or YDR387C )
r_3264	( YBR204C or YKR089C or YMR313C or YOR081C )	( YBR204C or YKR089C or YMR313C or YOR081C or YCR068W )
r_3297	YMR313C	( YCR068W or YMR313C )
r_0804	YER005W	( YAL035W or YLL001W or YER005W )
r_1667	NAN	YNL036W
r_0005	( YGR032W or ( YLR342W and YCR034W ))	( YGR032W or YMR306W or ( YLR342W and YCR034W ))
r_1172	YLL043W	( YFL054C or YLL043W )
r_1217	YDR105C	( YCL025C  or YDR508C or YFL055W or YKR039W or YPL265W or YDR105C )
r_1258	YLR138W	( YDR456W or YLR138W)
r_1249	YJL129C	( YDR456W or YJL129C )
r_0193	YPR026W	( YPR026W or YBR001C )
r_2064	NAN	YDL024C
r_0323	YJR159W	( YDL246C or YJR159W )
r_0199	YMR293C	( YDR242W or YMR293C )
r_0139	YML022W	( YDR441C or YML022W)
r_0542	YDR234W	( YJL200C or YDR234W )
r_0893	YKL152C	( YOR283W or YKL152C )
r_1048	YLR354C	( YGR043C or YLR354C )
r_1021	(YDR178W and YJL045W and YKL141W and YLL041C) or (YDR178W and YKL141W and YKL148C and YLL041C)	(YDR178W and YJL045W and YKL141W and YLL041C) or (YDR178W and YKL141W and YKL148C and YLL041C) or ( YLR164W and YJL045W and YKL141W and YLL041C)
r_0475	YFL060C	( YFL060C or YNL334C )
